fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.247787610619469,0.3972602739726026,0.0,0.0684931506849315,0.1068447412353923,0.1492537313432836,0.0989399293286219,0.567547723935391,0.606299212598425,0.1377245508982036,0.15384615384615388,0.3999999999999999
0.2831858407079646,0.5205479452054794,0.0,0.1164383561643835,0.1435726210350584,0.3582089552238806,0.215547703180212,0.4941262848751933,0.3622047244094486,0.2095808383233533,0.21538461538461545,0.3999999999999999
0.2831858407079646,0.4383561643835616,0.04,0.0958904109589041,0.1335559265442404,0.208955223880597,0.1696113074204946,0.5088105726872243,0.4094488188976375,0.1916167664670659,0.21538461538461545,0.3999999999999999
0.5840707964601769,0.1095890410958904,0.56,0.0684931506849315,0.1051752921535893,0.2388059701492537,0.1908127208480565,0.5822320117474362,0.3307086614173227,0.1497005988023952,0.21538461538461545,0.6000000000000001
0.247787610619469,0.3972602739726026,0.0,0.0684931506849315,0.1068447412353923,0.1492537313432836,0.0989399293286219,0.567547723935391,0.606299212598425,0.1377245508982036,0.15384615384615388,0.3999999999999999
0.247787610619469,0.3698630136986301,0.0,0.0616438356164383,0.1051752921535893,0.1791044776119403,0.1201413427561837,0.567547723935391,0.606299212598425,0.1377245508982036,0.15384615384615388,0.3999999999999999
0.2920353982300885,0.3287671232876712,0.06,0.047945205479452,0.0951585976627713,0.208955223880597,0.1872791519434629,0.4647577092511028,0.4409448818897634,0.0778443113772455,0.15384615384615388,0.3999999999999999
0.2389380530973451,0.363013698630137,0.0,0.0205479452054794,0.0884808013355592,0.208955223880597,0.0530035335689045,0.3325991189427384,0.5118110236220472,0.0838323353293412,0.24615384615384606,0.8
0.2831858407079646,0.3150684931506849,0.02,0.0753424657534246,0.1018363939899832,0.1194029850746268,0.0424028268551236,0.4941262848751933,0.4881889763779523,0.1437125748502994,0.16923076923076927,0.8
0.1858407079646018,0.3150684931506849,0.08,0.0616438356164383,0.1419031719532552,0.208955223880597,0.2084805653710247,0.4280469897209968,0.4251968503937005,0.125748502994012,0.12307692307692297,0.3999999999999999
0.0884955752212389,0.3390410958904109,0.0,0.047945205479452,0.1285475792988313,0.2238805970149253,0.1872791519434629,0.3105726872246634,0.6614173228346458,0.1137724550898204,0.23076923076923075,0.3999999999999999
0.2831858407079646,0.3356164383561643,0.29,0.047945205479452,0.1702838063439065,0.1194029850746268,0.0812720848056537,0.5381791483113005,0.4094488188976375,0.7365269461077846,0.10769230769230767,0.3999999999999999
0.3451327433628318,0.1095890410958904,0.56,0.0616438356164383,0.1335559265442404,0.5074626865671641,0.342756183745583,0.5014684287812088,0.4409448818897634,0.2514970059880239,0.32307692307692293,0.8
0.2920353982300885,0.136986301369863,0.51,0.0616438356164383,0.5492487479131887,0.2388059701492537,0.1766784452296819,0.5014684287812088,0.2362204724409444,0.4491017964071857,0.12307692307692297,0.6000000000000001
0.2654867256637168,0.184931506849315,0.31,0.0958904109589041,0.1168614357262101,0.3283582089552239,0.2296819787985866,0.5969162995594672,0.6141732283464565,0.1916167664670659,0.19999999999999984,0.3999999999999999
0.2920353982300885,0.2123287671232876,0.21,0.047945205479452,0.1569282136894824,0.1343283582089552,0.1095406360424028,0.479441997063148,0.3385826771653542,0.3473053892215569,0.16923076923076927,0.3999999999999999
0.3451327433628318,0.2534246575342465,0.11,0.0958904109589041,0.1202003338898163,0.1194029850746268,0.215547703180212,0.4941262848751933,0.3385826771653542,0.1197604790419162,0.15384615384615388,0.3999999999999999
0.2035398230088496,0.1917808219178082,0.14,0.1027397260273972,0.1218697829716193,0.2985074626865672,0.1201413427561837,0.4941262848751933,0.5433070866141732,0.1796407185628742,0.19999999999999984,0.6000000000000001
0.1504424778761062,0.184931506849315,0.16,0.0342465753424657,0.1135225375626043,0.1492537313432836,0.0600706713780918,0.3986784140969206,0.4724409448818893,0.1377245508982036,0.13846153846153858,0.3999999999999999
